helyseg;iranyitoszam
Jászapáti;5130
Jászberény;5100
Jászberény;5152
Jászboldogháza;5144
Jászdózsa;5122
Jászfelsőszentgyörgy;5111
Jászfényszaru;5126
Jászivány;5135
Jászjákóhalma;5121
Jászkarajenő;2746
Jászkisér;5137
Jászladány;5055
Jászszentandrás;5136
Jászszentlászló;6133
Jásztelek;5141
Jászágó;5124
Jászárokszállás;5123
Jéke;4611
Jósvafő;3758
Kaba;4183
Kacorlak;8773
Kacsóta;7940
Kadarkút;7530
Kajdacs;7051
Kajárpéc;9123
Kajászó;2472
Kakasd;7122
Kakucs;2366
Kalaznó;7194
Kallósd;8785
Kalocsa;6300
Kamond;8469
Kamut;5673
Kapolcs;8294
Kapoly;8671
Kaposfő;7523
Kaposgyarmat;7473
Kaposhomok;7261
Kaposkeresztúr;7258
Kaposmérő;7521
Kapospula;7251
Kaposszekcső;7361
Kaposszerdahely;7476
Kaposvár;7400
Kaposvár;7451
Kaposújlak;7522
Kapuvár;9330
Kapuvár;9339
Karakó;9547
Karakószörcsök;8491
Karancsalja;3181
Karancsberény;3137
Karancskeszi;3183
Karancslapujtő;3182
Karancsság;3163
Karcag;5300
Karcsa;3963
Kardos;5552
Kardoskút;5945
Karmacs;8354
Karos;3962
Kartal;2173
Karácsond;3281
Karád;8676
Kaskantyú;6211
Kastélyosdombó;7977
Kaszaper;5948
Kaszó;7564
Katafa;9915
Katymár;6455
Katádfa;7914
Kazincbarcika;3700
Kazsok;7274
Kazár;3127
Kazár;3147
Kecel;6237
Kecskemét;6000
Kecskemét;6008
Kecskemét;6044
Kecskéd;2852
Kehidakustány;8784
Kelebia;6423
Kelemér;3728
Kelevíz;8714
Keléd;9549
Kemecse;4501
Kemence;2638
Kemendollár;8931
Kemeneshőgyész;8516
Kemeneskápolna;9553
Kemenesmagasi;9522
Kemenesmihályfa;9511
Kemenespálfa;9544
Kemenesszentmárton;9521
Kemenesszentpéter;8518
Kemenessömjén;9517
Kemestaródfa;9923
Kemse;7839
Keménfa;8995
Kenderes;5331
Kenderes;5349
Kengyel;5083
Kenyeri;9514
Kenéz;9752
Kenézlő;3955
Kercaszomor;9945
Kercseliget;7256
Kerecsend;3396
Kerecseny;8745
Kerekegyháza;6041
Kerekharaszt;3009
Kereki;8618
Kerepes;2144
Kerepes;2145
Keresztéte;3821
Kerkabarabás;8971
Kerkafalva;8973
Kerkakutas;8973
Kerkaszentkirály;8874
Kerkateskánd;8879
Kerkáskápolna;9944
Kerta;8492
Kertészsziget;5526
Kerékteleki;2882
Keszeg;2616
Kesznyéten;3579
Keszthely;8360
Kesztölc;2517
Keszü;7668
Keszőhidegkút;7062
Kevermes;5744
Kilimán;8774
Kimle;9181
Kincsesbánya;8044
Királd;3657
Királyegyháza;7953
Királyhegyes;6911
Királyszentistván;8195
Kisapostag;2428
Kisapáti;8284
Kisar;4921
Kisasszond;7523
Kisasszonyfa;7954
Kisbabot;9133
Kisbajcs;9062
Kisbajom;7542
Kisberzseny;8477
Kisberény;8693
Kisbeszterce;7391
Kisbodak;9234
Kisbucsa;8926
Kisbudmér;7756
Kisbágyon;3046
Kisbárapáti;7282
Kisbárkány;3075
Kisbér;2870
Kisbér;2879
Kiscsehi;8888
Kiscsécs;3578
Kiscsősz;8494
Kisdobsza;7985
Kisdombegyház;5837
Kisdorog;7159
Kisdér;7814
Kisecset;2655
Kisfalud;9341
Kisfüzes;3256
Kisgyalán;7279
Kisgyőr;3556
Kisgörbő;8356
Kishajmás;7391
Kisharsány;7800
Kishartyán;3161
Kisherend;7763
Kishuta;3994
Kishódos;4977
Kisigmánd;2948
Kisjakabfalva;7773
Kiskassa;7766
Kiskinizs;3843
Kiskorpád;7524
Kiskunfélegyháza;6100
Kiskunhalas;6400
Kiskunlacháza;2340
Kiskunmajsa;6120
Kiskutas;8911
Kisköre;3384
Kiskőrös;6200
Kislippó;7775
Kisláng;8156
Kisléta;4325
Kislőd;8446
Kismarja;4126
Kismaros;2623
Kismányok;7356
Kisnamény;4737
Kisnyárád;7759
Kisnána;3264
Kisnémedi;2165
Kisoroszi;2024
Kispalád;4956
Kispirit;8496
Kispáli;8912
Kisrozvágy;3965
Kisrákos;9936
Kisrécse;8756
Kissikátor;3627
Kissomlyó;9555
Kisszekeres;4963
Kisszentmárton;7841
Kissziget;8957
Kisszállás;6421
Kisszékely;7082
Kisszőlős;8483
Kistamási;7981
Kistapolca;7823
Kistarcsa;2143
Kistelek;6760
Kistokaj;3553
Kistolmács;8868
Kistormás;7068
Kistótfalu;7768
Kisunyom;9772
Kisvarsány;4811
Kisvaszar;7381
Kisvejke;7183
Kisvárda;4600
Kisvásárhely;8341
Kiszombor;6775
Kiszsidány;9733
Kisújszállás;5310
Klárafalva;6773
Kocs;2898
Kocsola;7212
Kocsord;4751
Kocsér;2755
Kokad;4284
Kolontár;8468
Komjáti;3765
Komló;7300
Komlódtótfalu;4765
Komlósd;7582
Komlóska;3937
Komoró;4622
Kompolt;3356
Komádi;4138
Komárom;2900
Komárom;2903
Komárom;2921
Kondorfa;9943
Kondoros;5553
Kondó;3775
Konyár;4133
Koppányszántó;7094
Korlát;3886
Koroncó;9113
Kosd;2612
Kovácshida;7847
Kovácsszénája;7678
Kovácsvágás;3992
Kozmadombja;8988
Kozárd;3053
Kozármisleny;7761
Krasznokvajda;3821
Kulcs;2458
Kunadacs;6097
Kunbaja;6435
Kunbaracs;6043
Kuncsorba;5412
Kunfehértó;6413
Kunhegyes;5340
Kunmadaras;5321
Kunpeszér;6096
Kunszentmiklós;6090
Kunszentmárton;5440
Kunszentmárton;5449
Kunsziget;9184
Kunszállás;6115
Kunágota;5746
Kup;8595
Kupa;3813
Kurd;7226
Kurityán;3732
Kustánszeg;8919
Kutas;7541
Kutasó;3066
Kács;3424
Kákics;7958
Kál;3350
Káld;9673
Kálló;2175
Kállósemjén;4324
Kálmáncsa;7538
Kálmánháza;4434
Káloz;8124
Kálócfa;8988
Kám;9841
Kántorjánosi;4335
Kány;3821
Kánya;8667
Kányavár;8956
Kánó;3735
Kápolna;3355
Kápolnásnyék;2475
Káptalanfa;8471
Káptalantóti;8283
Kára;7285
Károlyháza;9182
Kárász;7333
Kásád;7827
Kátoly;7661
Káva;2215
Kávás;8994
Kázsmárk;3831
Kék;4515
Kékcse;4494
Kéked;3899
Kékesd;7661
Kékkút;8254
Kéleshalom;6444
Kémes;7843
Kérsemjén;4912
Kétbodony;2655
Kétegyháza;5741
Kéthely;8713
Kétpó;5411
Kétsoprony;5674
Kétvölgy;9982
Kéty;7174
Kétújfalu;7975
Kóka;2243
Kóny;9144
Kópháza;9495
Kórós;7841
Kóspallag;2625
Kótaj;4482
Köblény;7334
Köcsk;9553
Kökény;7639
Kölcse;4965
Kölesd;7052
Kölked;7717
Kömlő;3372
Kömlőd;2853
Kömpöc;6134
Kömörő;4943
Körmend;9900
Körmend;9909
Környe;2851
Köröm;3577
Körösladány;5516
Körösnagyharsány;5539
Körösszakál;4136
Körösszegapáti;4135
Köröstarcsa;5622
Körösújfalu;5536
Kötcse;8627
Kötegyán;5725
Kövegy;6912
Köveskál;8274
Kübekháza;6755
Külsősárd;8978
Külsővat;9532
Küngös;8162
Kőkút;7530
Kőröshegy;8617
Kőröstetétlen;2745
Kőszeg;9730
Kőszegdoroszló;9725
Kőszegpaty;9739
Kőszegszerdahely;9725
Kőszárhegy;8152
Kőtelek;5062
Kővágószőlős;7673
Kővágótöttös;7675
Kővágóörs;8254
Kővágóörs;8255
Lad;7535
Ladánybene;6045
Lajoskomárom;8136
Lajosmizse;6050
Lak;3786
Lakhegy;8913
Lakitelek;6065
Lakócsa;7918
Lapáncsa;7775
Laskod;4543
Lasztonya;8887
Legyesbénye;3904
Legénd;2619
Lendvadedes;8978
Lendvajakabfa;8977
Lengyel;7184
Lengyeltóti;8693
Lenti;8960
Lenti;8966
Lepsény;8132
Lesencefalu;8317
Lesenceistvánd;8319
Lesencetomaj;8318
Letenye;8868
Letkés;2632
Levelek;4555
Levél;9221
Leányfalu;2016
Leányvár;2518
Libickozma;8707
Lickóvadamos;8981
Liget;7331
Ligetfalva;8782
Lippó;7781
Liptód;7757
Lipót;9233
Lispeszentadorján;8888
Liszó;8832
Litka;3866
Litke;3186
Litér;8196
Lothárd;7761
Lovas;8228
Lovasberény;8093
Lovászhetény;7720
Lovászi;8878
Lovászpatona;8553
Lucfalva;3129
Ludas;3274
Ludányhalászi;3188
Lukácsháza;9724
Lulla;8660
Lábatlan;2541
Lábod;7551
Lácacséke;3967
Ládbesenyő;3780
Lánycsók;7759
Lápafő;7214
Látrány;8681
Lázi;9089
Lébény;9155
Léh;3832
Lénárddaróc;3648
Létavértes;4281
Létavértes;4283
Lócs;9634
Lókút;8425
Lónya;4836
Lórév;2309
Lövő;9461
Lövőpetri;4633
Lúzsok;7838
Lőkösháza;5743
Lőrinci;3021
Lőrinci;3022
Lőrinci;3024
Madaras;6456
Madocsa;7026
Maglóca;9169
Maglód;2234
Magosliget;4953
Magy;4556
Magyaralmás;8071
Magyaratád;7463
Magyarbánhegyes;5667
Magyarbóly;7775
Magyarcsanád;6932
Magyardombegyház;5838
Magyaregregy;7332
Magyaregres;7441
Magyarföld;8973
Magyargencs;8517
Magyargéc;3133
Magyarhertelend;7394
Magyarhomorog;4137
Magyarkeresztúr;9346
Magyarkeszi;7098
Magyarlak;9962
Magyarlukafa;7925
Magyarmecske;7954
Magyarnádalja;9909
Magyarnándor;2694
Magyarpolány;8449
Magyarsarlós;7761
Magyarszecsőd;9912
Magyarszentmiklós;8776
Magyarszerdahely;8776
Magyarszombatfa;9946
Magyarszék;7396
Magyartelek;7954
Majosháza;2339
Majs;7783
Makkoshotyka;3959
Maklár;3397
Makád;2322
Makó;6900
Makó;6903
Malomsok;8533
Marcalgergelyi;9534
Marcali;8700
Marcali;8709
Marcali;8714
Marcaltő;8531
Marcaltő;8532
Markaz;3262
Markotabödöge;9164
Markóc;7967
Maroslele;6921
Martfű;5435
Martonfa;7720
Martonvásár;2462
Martonyi;3755
Maráza;7733
Maróc;8888
Marócsa;7960
Matty;7854
Mecseknádasd;7695
Mecsekpölöske;7305
Mecsér;9176
Medgyesbodzás;5663
Medgyesbodzás;5664
Medgyesegyháza;5666
Medgyesegyháza;5752
Medina;7057
Meggyeskovácsi;9757
Meggyeskovácsi;9764
Megyaszó;3718
Megyehíd;9754
Megyer;8348
Mekényes;7344
Mencshely;8271
Mende;2235
Merenye;7981
Mernye;7453
Mersevát;9531
Mesterháza;9662
Mesteri;9551
Mesterszállás;5452
Meszes;3754
Meszlen;9745
Mesztegnyő;8716
Mezőberény;5650
Mezőcsokonya;7434
Mezőcsát;3450
Meződ;7370
Mezőfalva;2422
Mezőgyán;5732
Mezőhegyes;5820
Mezőhék;5453
Mezőkeresztes;3441
Mezőkomárom;8137
Mezőkovácsháza;5800
Mezőkövesd;3400
Mezőladány;4641
Mezőlak;8514
Mezőnagymihály;3443
Mezőnyárád;3421
Mezőpeterd;4118
Mezősas;4134
Mezőszemere;3378
Mezőszentgyörgy;8133
Mezőszilas;7017
Mezőtárkány;3375
Mezőtúr;5400
Mezőzombor;3931
Mezőörs;9097
Mezőörs;9098
Miháld;8825
Mihályfa;8341
Mihálygerge;3184
Mihályháza;8513
Mihályi;9342
Mike;7512
Mikebuda;2736
Mikekarácsonyfa;8949
Mikepércs;4271
Miklósi;8669
Mikosszéplak;9835
Mikófalva;3344
Mikóháza;3989
Milejszeg;8917
Milota;4948
Mindszent;6630
Mindszentgodisa;7391
Mindszentkálla;8282
Misefa;8935
Miske;6343
Miskolc;3500
Miskolc;3501
Miskolc;3508
Miskolc;3515
Miskolc;3516
Miskolc;3517
Miskolc;3518
Miskolc;3519
Miskolc;3521
Miskolc;3524
Miskolc;3525
Miskolc;3526
Miskolc;3527
Miskolc;3528
Miskolc;3529
Miskolc;3530
Miskolc;3531
Miskolc;3532
Miskolc;3533
Miskolc;3534
Miskolc;3535
Miskolc;3558
Miszla;7065
Mocsa;2911
Mogyoród;2146
Mogyorósbánya;2535
Mogyoróska;3893
Moha;8042
Mohora;2698
Mohács;7700
Mohács;7714
Mohács;7715
Molnaszecsőd;9912
Molnári;8863
Molvány;7981
Monaj;3812
Monok;3905
Monor;2200
Monorierdő;2213
Monostorapáti;8296
Monostorpályi;4275
Monoszló;8273
Monyoród;7751
Mosdós;7257
Mosonmagyaróvár;9200
Mosonszentmiklós;9154
Mosonszentmiklós;9183
Mosonszentmiklós;9183
Mosonszolnok;9245
Mosonudvar;9246
Mozsgó;7932
Mucsfa;7185
Mucsi;7195
Muhi;3552
Murakeresztúr;8834
Murarátka;8868
Muraszemenye;8872
Murga;7176
Murony;5672
Mád;3909
Mágocs;7342
Mályi;3434
Mályinka;3645
Mánd;4942
Mándok;4644
Mánfa;7304
Mány;2065
Márfa;7817
Máriahalom;2527
Máriakálnok;9231
Máriakéménd;7663
Márianosztra;2629
Máriapócs;4326
Márkháza;3075
Márkó;8441
Márok;7774
Márokföld;8976
Márokpapi;4932
Mártély;6636
Mátraballa;3247
Mátraderecske;3246
Mátramindszent;3155
Mátranovák;3143
Mátranovák;3144
Mátraszele;3142
Mátraszentimre;3234
Mátraszentimre;3235
Mátraszőlős;3068
Mátraterenye;3145
Mátraterenye;3146
Mátraverebély;3077
Mátyus;4835
Mátyásdomb;8134
Mátészalka;4700
Mátételke;6452
Máza;7351
Méhkerék;5726
Méhtelek;4975
Mélykút;6449
Méra;3871
Mérges;9136
Mérk;4352
Mónosbél;3345
Mór;8060
Mórahalom;6782
Móricgát;6132
Mórichida;9131
Mórágy;7165
Múcsony;3744
Mőcsény;7163
Nadap;8097
Nagyacsád;8521
Nagyalásony;8484
Nagyar;4922
Nagyatád;7500
Nagybajcs;9063
Nagybajom;7561
Nagybakónak;8821
Nagybaracska;6527
Nagybarca;3641
Nagyberki;7255
Nagyberény;8656
Nagybudmér;7756
Nagybánhegyes;5668
Nagybárkány;3075
Nagybörzsöny;2634
Nagycenk;9485
Nagycsepely;8628
Nagycserkesz;4445
Nagycsány;7838
Nagycsécs;3598
Nagydobos;4823
Nagydobsza;7985
Nagydorog;7044
Nagydém;8554
Nagyecsed;4355
Nagyesztergár;8415
Nagyfüged;3282
Nagygeresd;9664
Nagygyimót;8551
Nagygörbő;8356
Nagyhajmás;7343
Nagyhalász;4485
Nagyharsány;7822
Nagyhegyes;4064
Nagyhuta;3994
Nagyhódos;4977
Nagyigmánd;2942
Nagyiván;5363
Nagykamarás;5751
Nagykanizsa;8800
Nagykanizsa;8808
Nagykanizsa;8809
Nagykanizsa;8831
Nagykapornak;8935
Nagykarácsony;2425
Nagykereki;4127
Nagykeresztúr;3129
Nagykinizs;3844
Nagykorpád;7545
Nagykovácsi;2094
Nagykozár;7741
Nagykutas;8911
Nagykálló;4320
Nagykáta;2760
Nagykónyi;7092
Nagykökényes;3012
Nagykölked;9784
Nagykörű;5065
Nagykőrös;2750
Nagylak;6933
Nagylengyel;8983
Nagylóc;3175
Nagylók;2435
Nagylózs;9482
Nagymaros;2626
Nagymizdó;9913
Nagymágocs;6622
Nagymányok;7355
Nagynyárád;7784
Nagyoroszi;2645
Nagypall;7731
Nagypeterd;7912
Nagypirit;8496
Nagypáli;8912
Nagyrada;8746
Nagyrozvágy;3965
Nagyrábé;4173
Nagyrákos;9938
Nagyrécse;8756
Nagyréde;3214
Nagyrév;5463
Nagysimonyi;9561
Nagyszakácsi;8739
Nagyszekeres;4962
Nagyszentjános;9072
Nagyszokoly;7097
Nagyszékely;7085
Nagyszénás;5931
Nagysáp;2524
Nagytarcsa;2142
Nagytevel;8562
Nagytilaj;9832
Nagytálya;3398
Nagytótfalu;7800
Nagytőke;6612
Nagyvarsány;4812
Nagyvejke;7186
Nagyveleg;8065
Nagyvenyim;2421
Nagyvisnyó;3349
Nagyváty;7912
Nagyvázsony;8291
Nagyér;6917
Nagyút;3357
Nak;7215
Napkor;4552
Narda;9793
Naszály;2899
Nekézseny;3646
Nemesapáti;8923
Nemesbikk;3592
Nemesborzova;4942
Nemesbük;8371
Nemesbőd;9749
Nemescsó;9739
Nemesdéd;8722
Nemesgulács;8284
Nemesgörzsöny;8522
Nemeshany;8471
Nemeshetés;8928
Nemeske;7981
Nemeskeresztúr;9548
Nemeskisfalud;8717
Nemeskocs;9542
Nemeskolta;9775
Nemeskér;9471
Nemesládony;9663
Nemesmedves;9953
Nemesnádudvar;6345
Nemesnép;8976
Nemespátró;8857
Nemesrempehollós;9782
Nemesrádó;8915
Nemesszalók;9533
Nemesszentandrás;8925
Nemessándorháza;8925
Nemesvid;8738
Nemesvita;8311
Nemesvámos;8248
Nemti;3152
Neszmély;2544
Nick;9652
Nikla;8706
Noszlop;8456
Noszvaj;3325
Nova;8948
Novaj;3327
Novajidrány;3872
Nyalka;9096
Nyergesújfalu;2536
Nyim;8612
Nyirád;8454
Nyomár;3795
Nyugotszenterzsébet;7912
Nyáregyháza;2723
Nyárlőrinc;6032
Nyársapát;2712
Nyárád;8512
Nyékládháza;3433
Nyésta;3809
Nyíracsád;4262
Nyíradony;4252
Nyíradony;4253
Nyíradony;4254
Nyírbogdány;4511
Nyírbogát;4361
Nyírbátor;4300
Nyírbéltek;4372
Nyírcsaholy;4356
Nyírcsászári;4331
Nyírderzs;4332
Nyíregyháza;4246
Nyíregyháza;4400
Nyíregyháza;4405
Nyíregyháza;4431
Nyíregyháza;4432
Nyíregyháza;4433
Nyíregyháza;4481
Nyíregyháza;4551
Nyírgelse;4362
Nyírgyulaj;4311
Nyíri;3998
Nyíribrony;4535
Nyírjákó;4541
Nyírkarász;4544
Nyírkáta;4333
Nyírkércs;4537
Nyírlugos;4371
Nyírlövő;4632
Nyírmada;4564
Nyírmeggyes;4722
Nyírmihálydi;4363
Nyírmártonfalva;4263
Nyírparasznya;4822
Nyírpazony;4531
Nyírpilis;4376
Nyírtass;4522
Nyírtelek;4461
Nyírtura;4532
Nyírtét;4554
Nyírvasvári;4341
Nyírábrány;4264
Nyúl;9082
Nyőgér;9682
Nábrád;4911
Nádasd;9915
Nádasdladány;8145
Nádudvar;4181
Nágocs;8674
Nárai;9797
Négyes;3463
Németbánya;8581
Németfalu;8918
Németkér;7039
Nézsa;2618
Nógrád;2642
Nógrádkövesd;2691
Nógrádmarcal;2675
Nógrádmegyer;3132
Nógrádsipek;3179
Nógrádszakál;3187
Nógrádsáp;2685
Nóráp;8591
Nőtincs;2610
Okorvölgy;7681
Okorág;7957
Okány;5534
Olasz;7745
Olaszfa;9824
Olaszfalu;8414
Olaszliszka;3933
Olcsva;4826
Olcsvaapáti;4914
Old;7825
Oltárc;8886
Onga;3562
Orbányosfa;8935
Orci;7461
Ordacsehi;8635
Ordas;6335
Orfalu;9982
Orfű;7677
Orgovány;6077
Ormosbánya;3743
Ormándlak;8983
Orosháza;5900
Orosháza;5903
Orosháza;5904
Orosháza;5905
Oroszi;8458
Oroszlány;2840
Oroszló;7370
Orosztony;8744
Ortaháza;8954
Osli;9354
Ostffyasszonyfa;9512
Ostoros;3326
Oszkó;9825
Oszlár;3591
Osztopán;7444
Ozmánbük;8998
Ozora;7086
Pacsa;8761
Padár;8935
Pakod;8799
Paks;7027
Paks;7030
Palkonya;7771
Palotabozsok;7727
Palotás;3042
Paloznak;8229
Palé;7370
Pamlény;3821
Pamuk;8698
Pankasz;9937
Pannonhalma;9090
Panyola;4913
Pap;4631
Papkeszi;8183
Papos;4338
Parasznya;3777
Parád;3240
Parádsasvár;3242
Paszab;4475
Pat;8825
Patak;2648
Patalom;7463
Patapoklosi;7923
Patca;7477
Patosfa;7536
Patvarc;2668
Pecöl;9754
Pellérd;7831
Penc;2614
Penyige;4941
Penészlek;4267
Perbál;2074
Pere;3853
Perecse;3821
Pereked;7664
Perenye;9722
Peresznye;9734
Pereszteg;9484
Perkupa;3756
Perkáta;2431
Perőcsény;2637
Peterd;7766
Pethőhenye;8921
Petneháza;4542
Petrikeresztúr;8984
Petrivente;8866
Pettend;7980
Petőfibánya;3023
Petőfiszállás;6113
Petőháza;9443
Petőmihályfa;9826
Piliny;3134
Pilis;2721
Pilisborosjenő;2097
Piliscsaba;2081
Piliscsév;2519
Pilisjászfalu;2080
Pilismarót;2028
Pilisszentiván;2084
Pilisszentkereszt;2098
Pilisszentkereszt;2099
Pilisszentlászló;2009
Pilisszántó;2095
Pilisvörösvár;2085
Pincehely;7084
Pinkamindszent;9922
Pinnye;9481
Piricse;4375
Pirtó;6414
Piskó;7838
Pitvaros;6914
Pocsaj;4125
Pogány;7666
Pogányszentpéter;8728
Polgár;4090
Polgárdi;8154
Polány;7458
Pomáz;2013
Porcsalma;4761
Pornóapáti;9796
Poroszló;3388
Porpác;9612
Porrog;8858
Porrogszentkirály;8858
Porrogszentpál;8858
Porva;8429
Potony;7977
Potyond;9324
Prügy;3925
Pula;8291
Pusztaapáti;8986
Pusztaberki;2658
Pusztacsalád;9373
Pusztacsó;9739
Pusztadobos;4565
Pusztaederics;8946
Pusztafalu;3995
Pusztaföldvár;5919
Pusztahencse;7038
Pusztakovácsi;8707
Pusztamagyaród;8895
Pusztamiske;8455
Pusztamonostor;5125
Pusztamérges;6785
Pusztaottlaka;5665
Pusztaradvány;3874
Pusztaszabolcs;2490
Pusztaszemes;8619
Pusztaszentlászló;8896
Pusztaszer;6769
Pusztavacs;2378
Pusztavám;8066
Pusztazámor;2039
Putnok;3630
Pácin;3964
Pácsony;9823
Páhi;6075
Páka;8956
Pákozd;8095
Pálfa;7042
Pálfiszeg;8990
Pálháza;3994
Páli;9345
Pálmajor;7561
Pálmonostora;6112
Pálosvörösmart;3261
Pánd;2214
Pányok;3898
Pápa;8500
Pápa;8511
Pápa;8591
Pápa;8598
Pápadereske;8593
Pápakovácsi;8596
Pápasalamon;8594
Pápateszér;8556
Pápoc;9515
Páprád;7838
Pári;7091
Pásztori;9311
Pásztó;3060
Pásztó;3065
Pásztó;3082
Pátka;8092
Pátroha;4523
Páty;2071
Pátyod;4766
Pázmánd;2476
Pázmándfalu;9085
Pécel;2119
Pécs;7600
Pécs;7621
Pécs;7622
Pécs;7623
Pécs;7624
Pécs;7625
Pécs;7626
Pécs;7627
Pécs;7628
Pécs;7629
Pécs;7630
Pécs;7631
Pécs;7632
Pécs;7633
Pécs;7634
Pécs;7635
Pécs;7636
Pécs;7639
Pécs;7691
Pécs;7693
Pécsbagota;7951
Pécsdevecser;7766
Pécsely;8245
Pécsudvard;7762
Pécsvárad;7720
Pély;3381
Pénzesgyőr;8426
Pér;9099
Péterhida;7582
Péteri;2209
Pétervására;3250
Pétfürdő;8105
Pócsa;7756
Pócsmegyer;2017
Pócspetri;4327
Pókaszepetk;8932
Pórszombat;8986
Pósfa;9636
Pölöske;8929
Pölöskefő;8773
Pörböly;7142
Pördefölde;8956
Pötréte;8767
Püski;9235
Püspökhatvan;2682
Püspökladány;4150
Püspökmolnári;9776
Püspökszilágy;2166
Radostyán;3776
Ragály;3724
Rajka;9224
Rakaca;3825
Rakacaszend;3826
Rakamaz;4465
Ramocsa;8973
Ramocsaháza;4536
Raposka;8300
Ravazd;9091
Recsk;3245
Regenye;7833
Regéc;3893
Regöly;7193
Remeteszőlős;2090
Resznek;8977
Rezi;8373
Ricse;3974
Rigyác;8883
Rigács;8348
Rimóc;3177
Rinyabesenyő;7552
Rinyakovácsi;7527
Rinyaszentkirály;7513
Rinyaújlak;7556
Rinyaújnép;7584
Rohod;4563
Romhány;2654
Romonya;7743
Románd;8434
Rozsály;4971
Rudabánya;3733
Rudolftelep;3742
Rum;9766
Ruzsa;6786
Rábacsanak;9313
Rábacsécsény;9136
Rábagyarmat;9961
Rábahídvég;9777
Rábakecöl;9344
Rábapatona;9142
Rábapaty;9641
Rábapordány;9146
Rábasebes;9327
Rábaszentandrás;9316
Rábaszentmihály;9135
Rábaszentmiklós;9133
Rábatamási;9322
Rábatöttös;9766
Rábcakapi;9165
Rácalmás;2459
Ráckeresztúr;2465
Ráckeve;2300
Rád;2613
Rádfalva;7817
Rádóckölked;9784
Ráksi;7464
Rákóczibánya;3151
Rákóczifalva;5085
Rákócziújfalu;5084
Rápolt;4756
Rásonysápberencs;3833
Rátka;3908
Rátót;9951
Réde;2886
Rédics;8978
Rém;6446
Répcelak;9653
Répceszemere;9375
Répceszentgyörgy;9623
Répcevis;9475
Répáshuta;3559
Rétalap;9074
Rétközberencs;4525
Rétság;2651
Révfülöp;8253
Révleányvár;3976
Rózsafa;7914
Rózsaszentmárton;3033
Röjtökmuzsaj;9451
Rönök;9954
Röszke;6758
Sajtoskál;9632
Sajóbábony;3792
Sajóecseg;3793
Sajógalgóc;3636
Sajóhídvég;3576
Sajóivánka;3720
Sajókaza;3720
Sajókeresztúr;3791
Sajókápolna;3773
Sajólád;3572
Sajólászlófalva;3773
Sajómercse;3656
Sajónémeti;3652
Sajópetri;3573
Sajópálfala;3714
Sajópüspöki;3653
Sajósenye;3712
Sajószentpéter;3770
Sajószöged;3599
Sajóvelezd;3656
Sajóvámos;3712
Sajóörös;3586
Salföld;8256
Salgótarján;3100
Salgótarján;3102
Salgótarján;3104
Salgótarján;3109
Salgótarján;3141
Salköveskút;9742
Salomvár;8995
Sand;8824
Sarkad;5720
Sarkadkeresztúr;5731
Sarród;9434
Sarród;9435
Sarród;9438
Sarud;3386
Segesd;7562
Sellye;7960
Selyeb;3809
Semjén;3974
Semjénháza;8862
Seregélyes;8111
Serényfalva;3729
Siklós;7800
Siklósbodony;7814
Siklósnagyfalu;7823
Sikátor;8439
Sima;3881
Simaság;9633
Simonfa;7474
Simontornya;7081
Sirok;3332
Sitke;9671
Sióagárd;7171
Siófok;8600
Siójut;8652
Sobor;9315
Sokorópátka;9112
Solt;6320
Soltszentimre;6223
Soltvadkert;6230
Solymár;2083
Som;8655
Somberek;7728
Somlójenő;8478
Somlószőlős;8483
Somlóvecse;8484
Somlóvásárhely;8481
Somodor;7454
Somogyacsa;7283
Somogyapáti;7922
Somogyaracs;7584
Somogyaszaló;7452
Somogybabod;8684
Somogybükkösd;8858
Somogycsicsó;8726
Somogydöröcske;7284
Somogyegres;8666
Somogyfajsz;8708
Somogygeszti;7455
Somogyhatvan;7921
Somogyhárságy;7925
Somogyjád;7443
Somogymeggyes;8673
Somogysimonyi;8737
Somogyszentpál;8705
Somogyszil;7276
Somogyszob;7563
Somogysámson;8733
Somogysárd;7435
Somogytúr;8683
Somogyudvarhely;7515
Somogyviszló;7924
Somogyvámos;8699
Somogyvár;8698
Somogyzsitfa;8734
Somoskőújfalu;3121
Sonkád;4954
Soponya;8123
Sopron;9400
Sopron;9407
Sopron;9408
Sopron;9494
Sopronhorpács;9463
Sopronkövesd;9483
Sopronnémeti;9325
Sorkifalud;9774
Sorkikápolna;9774
Sormás;8881
Sorokpolány;9773
Sukoró;8096
Sumony;7960
Surd;8856
Szabadbattyán;8151
Szabadegyháza;2432
Szabadhídvég;8138
Szabadhídvég;8139
Szabadi;7253
Szabadkígyós;5712
Szabadszentkirály;7951
Szabadszállás;6080
Szabolcs;4467
Szabolcsbáka;4547
Szabolcsveresmart;4496
Szabás;7544
Szada;2111
Szajk;7753
Szajla;3334
Szajol;5081
Szakadát;7071
Szakcs;7213
Szakmár;6336
Szaknyér;9934
Szakoly;4234
Szakony;9474
Szakonyfalu;9983
Szakácsi;3786
Szakáld;3596
Szakály;7192
Szalafő;9942
Szalapa;8341
Szalaszend;3863
Szalatnak;7334
Szalkszentmárton;6086
Szalmatercs;3163
Szalonna;3754
Szalánta;7811
Szamosangyalos;4767
Szamosbecs;4745
Szamoskér;4721
Szamosszeg;4824
Szamossályi;4735
Szamostatárfalva;4746
Szamosújlak;4734
Szanda;2697
Szank;6131
Szany;9317
Szaporca;7843
Szarvas;5540
